date_of_calculation,code_of_stock,name_of_stock,name_of_short_seller,address_of_short_seller,name_of_discretionary_investment_contractor,address_of_discretionary_investment_contractor,name_of_investment_fund,ratio_of_short_positions_to_shares_outstanding,number_of_short_positions_in_shares,number_of_short_positions_in_trading_units,date_of_calculation_in_previous_reporting,ratio_of_short_positions_in_previous_reporting,notes
2024-11-19,3350,Metaplanet Inc.,GOLDMAN SACHS INTERNATIONAL,Plumtree Court 25 Shoe Lane London,,,,0.0070999999999999995,258118,2581.0,2024-11-12,0.0058,顧客取引に係るヘッジポジション及びETFの場合は当該ETFの設定を伴う空売りを含む
2024-11-18,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0086,167232,1672.0,2024-11-15,0.0069,
2024-11-15,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0069,135432,1354.0,,,
2024-11-15,3350,Metaplanet Inc.,Morgan Stanley & Co. International plc,25 Cabot Square Canary Wharf London E14 4QA U.K.,,,,0.0,0,0.0,2024-11-14,0.0051,
2024-11-14,3350,Metaplanet Inc.,Morgan Stanley & Co. International plc,25 Cabot Square Canary Wharf London E14 4QA U.K.,,,,0.0051,100000,1000.0,,,
2024-11-13,3350,Metaplanet Inc.,BNP Paribas Financial Markets SNC,"20 boulevard des Italiens, 75009 Paris",,,,0.0064,233440,2334.0,2024-11-12,0.005699999999999999,
2024-11-12,3350,Metaplanet Inc.,BNP Paribas Financial Markets SNC,"20 boulevard des Italiens, 75009 Paris",,,,0.005699999999999999,208440,2084.0,2024-11-11,0.0048,
2024-11-12,3350,Metaplanet Inc.,BNP Paribas Financial Markets SNC,"20 boulevard des Italiens, 75009 Paris",,,,0.005699999999999999,208440,2084.0,2024-11-11,0.0048,
2024-11-12,3350,Metaplanet Inc.,GOLDMAN SACHS INTERNATIONAL,Plumtree Court 25 Shoe Lane London,,,,0.0058,210638,2106.0,2024-11-11,0.0060999999999999995,顧客取引に係るヘッジポジション及びETFの場合は当該ETFの設定を伴う空売りを含む
2024-11-12,3350,Metaplanet Inc.,Nomura Asset Management Singapore Limited,"10 Marina Boulevard, Marina Bay Financial Centre Tower 2, #33-03, Singapore 018983",Global Funds Trust Company,"PO Box 309, Ugland House, Grand Cayman, KY1-1104, Cayman Islands",,0.008,290700,2907.0,2024-11-06,0.0072,
2024-11-11,3350,Metaplanet Inc.,GOLDMAN SACHS INTERNATIONAL,Plumtree Court 25 Shoe Lane London,,,,0.0060999999999999995,222938,2229.0,2024-11-08,0.0169,顧客取引に係るヘッジポジション及びETFの場合は当該ETFの設定を伴う空売りを含む
2024-11-11,3350,Metaplanet Inc.,MERRILL LYNCH INTERNATIONAL,"2 KING EDWARD STREET, LONDON, EC1A 1HQ",,,,0.0,0,0.0,2024-11-08,0.0053,
2024-11-08,3350,Metaplanet Inc.,GOLDMAN SACHS INTERNATIONAL,Plumtree Court 25 Shoe Lane London,,,,0.0169,616538,6165.0,2024-11-05,0.015700000000000002,顧客取引に係るヘッジポジション及びETFの場合は当該ETFの設定を伴う空売りを含む
2024-11-08,3350,Metaplanet Inc.,MERRILL LYNCH INTERNATIONAL,"2 KING EDWARD STREET, LONDON, EC1A 1HQ",,,,0.0053,104271,1042.0,2024-11-07,0.0024,
2024-11-06,3350,Metaplanet Inc.,Nomura Asset Management Singapore Limited,"10 Marina Boulevard, Marina Bay Financial Centre Tower 2, #33-03, Singapore 018983",Global Funds Trust Company,"PO Box 309, Ugland House, Grand Cayman, KY1-1104, Cayman Islands",,0.0072,263100,2631.0,2024-10-29,0.0062,
2024-11-05,3350,Metaplanet Inc.,GOLDMAN SACHS INTERNATIONAL,Plumtree Court 25 Shoe Lane London,,,,0.015700000000000002,569438,5694.0,2024-11-01,0.0085,顧客取引に係るヘッジポジション及びETFの場合は当該ETFの設定を伴う空売りを含む
2024-11-01,3350,Metaplanet Inc.,GOLDMAN SACHS INTERNATIONAL,Plumtree Court 25 Shoe Lane London,,,,0.0085,310038,3100.0,2024-10-23,0.0046,顧客取引に係るヘッジポジション及びETFの場合は当該ETFの設定を伴う空売りを含む
2024-10-29,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0,0,0.0,2024-10-28,0.0069,
2024-10-29,3350,Metaplanet Inc.,Nomura Asset Management Singapore Limited,"10 Marina Boulevard, Marina Bay Financial Centre Tower 2, #33-03, Singapore 018983",Global Funds Trust Company,"PO Box 309, Ugland House, Grand Cayman, KY1-1104, Cayman Islands",,0.0062,226900,2269.0,2024-10-23,0.0057,
2024-10-28,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0069,135332,1353.0,2024-10-21,0.0077,
2024-10-23,3350,Metaplanet Inc.,Nomura Asset Management Singapore Limited,"10 Marina Boulevard, Marina Bay Financial Centre Tower 2, #33-03, Singapore 018983",Global Funds Trust Company,"PO Box 309, Ugland House, Grand Cayman, KY1-1104, Cayman Islands",,0.0057,207600,2076.0,2024-10-22,0.0063,
2024-10-22,3350,Metaplanet Inc.,Citigroup Global Markets Limited,"Citigroup Centre, Canada Square, Canary Wharf, London E14 5LB , UK",,,,0.0038,125800,1258.0,2024-10-10,0.0069,
2024-10-22,3350,Metaplanet Inc.,Nomura Asset Management Singapore Limited,"10 Marina Boulevard, Marina Bay Financial Centre Tower 2, #33-03, Singapore 018983",Global Funds Trust Company,"PO Box 309, Ugland House, Grand Cayman, KY1-1104, Cayman Islands",,0.0063,207600,2076.0,2024-10-18,0.0099,
2024-10-21,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0077,149332,1493.0,2024-10-18,0.005699999999999999,
2024-10-18,3350,Metaplanet Inc.,Nomura Asset Management Singapore Limited,"10 Marina Boulevard, Marina Bay Financial Centre Tower 2, #33-03, Singapore 018983",Global Funds Trust Company,"PO Box 309, Ugland House, Grand Cayman, KY1-1104, Cayman Islands",,0.0099,193000,1930.0,2024-10-17,0.0104,
2024-10-18,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.005699999999999999,105070,1050.0,2024-10-15,0.0074,
2024-10-17,3350,Metaplanet Inc.,Nomura Asset Management Singapore Limited,"10 Marina Boulevard, Marina Bay Financial Centre Tower 2, #33-03, Singapore 018983",Global Funds Trust Company,"PO Box 309, Ugland House, Grand Cayman, KY1-1104, Cayman Islands",,0.0104,189300,1893.0,2024-10-03,0.0091,
2024-10-15,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0074,135062,1350.0,2024-10-09,0.0088,
2024-10-10,3350,Metaplanet Inc.,Citigroup Global Markets Limited,"Citigroup Centre, Canada Square, Canary Wharf, London E14 5LB , UK",,,,0.0069,126500,1265.0,2024-09-27,0.0036,
2024-10-10,3350,Metaplanet Inc.,XTX Markets Pte Ltd,"50, Collyer Quay, #06-05 OUE Bayfront, Singapore 049321",,,,0.0048,88000,880.0,2024-10-07,0.0055,
2024-10-09,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0088,160562,1605.0,2024-10-07,0.009899999999999999,
2024-10-07,3350,Metaplanet Inc.,XTX Markets Pte Ltd,"50, Collyer Quay, #06-05 OUE Bayfront, Singapore 049321",,,,0.0055,100100,1001.0,2024-10-04,0.0099,
2024-10-07,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.009899999999999999,179962,1799.0,2024-10-04,0.0128,
2024-10-04,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0128,233062,2330.0,2024-10-01,0.014499999999999999,
2024-10-04,3350,Metaplanet Inc.,XTX Markets Pte Ltd,"50, Collyer Quay, #06-05 OUE Bayfront, Singapore 049321",,,,0.0099,180500,1805.0,2024-10-03,0.0117,
2024-10-03,3350,Metaplanet Inc.,Nomura Asset Management Singapore Limited,"10 Marina Boulevard, Marina Bay Financial Centre Tower 2, #33-03, Singapore 018983",Global Funds Trust Company,"PO Box 309, Ugland House, Grand Cayman, KY1-1104, Cayman Islands",,0.0091,166700,1667.0,2024-10-02,0.007,
2024-10-03,3350,Metaplanet Inc.,XTX Markets Pte Ltd,"50, Collyer Quay, #06-05 OUE Bayfront, Singapore 049321",,,,0.0117,214300,2143.0,2024-10-02,0.0068,
2024-10-02,3350,Metaplanet Inc.,Nomura Asset Management Singapore Limited,"10 Marina Boulevard, Marina Bay Financial Centre Tower 2, #33-03, Singapore 018983",Global Funds Trust Company,"PO Box 309, Ugland House, Grand Cayman, KY1-1104, Cayman Islands",,0.007,128300,1283.0,2024-10-01,0.0056,
2024-10-02,3350,Metaplanet Inc.,XTX Markets Pte Ltd,"50, Collyer Quay, #06-05 OUE Bayfront, Singapore 049321",,,,0.0068,123900,1239.0,2024-09-27,0.0059,
2024-10-01,3350,Metaplanet Inc.,Nomura Asset Management Singapore Limited,"10 Marina Boulevard, Marina Bay Financial Centre Tower 2, #33-03, Singapore 018983",Global Funds Trust Company,"PO Box 309, Ugland House, Grand Cayman, KY1-1104, Cayman Islands",,0.0056,103300,1033.0,2024-09-30,0.0045,
2024-10-01,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.014499999999999999,264762,2647.0,2024-09-30,0.0151,
2024-09-30,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0151,275762,2757.0,2024-09-27,0.0139,
2024-09-27,3350,Metaplanet Inc.,XTX Markets Pte Ltd,"50, Collyer Quay, #06-05 OUE Bayfront, Singapore 049321",,,,0.0059,107800,1078.0,2024-09-26,0.0107,
2024-09-27,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0139,254362,2543.0,2024-09-26,0.0129,
2024-09-26,3350,Metaplanet Inc.,XTX Markets Pte Ltd,"50, Collyer Quay, #06-05 OUE Bayfront, Singapore 049321",,,,0.0107,196200,1962.0,2024-09-24,0.0115,
2024-09-26,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0129,235462,2354.0,2024-09-25,0.013000000000000001,
2024-09-25,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.013000000000000001,237162,2371.0,2024-09-24,0.0043,
2024-09-24,3350,Metaplanet Inc.,XTX Markets Pte Ltd,"50, Collyer Quay, #06-05 OUE Bayfront, Singapore 049321",,,,0.0115,210000,2100.0,2024-09-19,0.0056,
2024-09-19,3350,Metaplanet Inc.,XTX Markets Pte Ltd,"50, Collyer Quay, #06-05 OUE Bayfront, Singapore 049321",,,,0.0056,102500,1025.0,2024-09-13,0.0079,
2024-09-13,3350,Metaplanet Inc.,XTX Markets Pte Ltd,"50, Collyer Quay, #06-05 OUE Bayfront, Singapore 049321",,,,0.0079,145200,1452.0,2024-09-12,0.0069,
2024-09-12,3350,Metaplanet Inc.,XTX Markets Pte Ltd,"50, Collyer Quay, #06-05 OUE Bayfront, Singapore 049321",,,,0.0069,125900,1259.0,2024-09-10,0.0032,
2024-09-03,3350,Metaplanet Inc.,GOLDMAN SACHS INTERNATIONAL,Plumtree Court 25 Shoe Lane London,,,,0.0045000000000000005,83117,831.0,2024-09-02,0.005699999999999999,顧客取引に係るヘッジポジション及びETFの場合は当該ETFの設定を伴う空売りを含む
2024-09-02,3350,Metaplanet Inc.,GOLDMAN SACHS INTERNATIONAL,Plumtree Court 25 Shoe Lane London,,,,0.005699999999999999,103634,1036.0,2024-08-30,0.0068000000000000005,顧客取引に係るヘッジポジション及びETFの場合は当該ETFの設定を伴う空売りを含む
2024-08-30,3350,Metaplanet Inc.,GOLDMAN SACHS INTERNATIONAL,Plumtree Court 25 Shoe Lane London,,,,0.0068000000000000005,124134,1241.0,2024-08-29,0.0079,顧客取引に係るヘッジポジション及びETFの場合は当該ETFの設定を伴う空売りを含む
2024-08-29,3350,Metaplanet Inc.,GOLDMAN SACHS INTERNATIONAL,Plumtree Court 25 Shoe Lane London,,,,0.0079,144617,1446.0,2024-08-28,0.0091,顧客取引に係るヘッジポジション及びETFの場合は当該ETFの設定を伴う空売りを含む
2024-08-28,3350,Metaplanet Inc.,GOLDMAN SACHS INTERNATIONAL,Plumtree Court 25 Shoe Lane London,,,,0.0091,167117,1671.0,2024-08-27,0.0104,顧客取引に係るヘッジポジション及びETFの場合は当該ETFの設定を伴う空売りを含む
2024-08-27,3350,Metaplanet Inc.,GOLDMAN SACHS INTERNATIONAL,Plumtree Court 25 Shoe Lane London,,,,0.0104,189517,1895.0,2024-08-26,0.0118,顧客取引に係るヘッジポジション及びETFの場合は当該ETFの設定を伴う空売りを含む
2024-08-26,3350,Metaplanet Inc.,GOLDMAN SACHS INTERNATIONAL,Plumtree Court 25 Shoe Lane London,,,,0.0118,215717,2157.0,2024-08-23,0.0127,顧客取引に係るヘッジポジション及びETFの場合は当該ETFの設定を伴う空売りを含む
2024-08-23,3350,Metaplanet Inc.,GOLDMAN SACHS INTERNATIONAL,Plumtree Court 25 Shoe Lane London,,,,0.0127,231617,2316.0,2024-08-01,0.0025,顧客取引に係るヘッジポジション及びETFの場合は当該ETFの設定を伴う空売りを含む
2024-08-23,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.0,0,0.0,2024-08-22,0.0062,Below the threshold
2024-08-22,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.0062,114070,1140.0,2024-08-20,0.0092,
2024-08-20,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.0092,167170,1671.0,2024-08-19,0.0173,
2024-08-20,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0039000000000000003,71762,717.0,2024-08-14,0.0055000000000000005,
2024-08-19,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.0173,315070,3150.0,2024-08-15,0.0167,
2024-08-19,3350,Metaplanet Inc.,JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,0.0034999999999999996,64545,645.0,2024-08-16,0.0058,
2024-08-16,3350,Metaplanet Inc.,JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,0.0058,105945,1059.0,2024-08-15,0.0084,
2024-08-15,3350,Metaplanet Inc.,JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,0.0084,154045,1540.0,2024-08-14,0.0101,
2024-08-15,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.0167,304070,3040.0,2024-08-14,0.015700000000000002,
2024-08-14,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0055000000000000005,100462,1004.0,2024-08-13,0.0067,
2024-08-14,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.015700000000000002,287070,2870.0,2024-08-13,0.0184,
2024-08-14,3350,Metaplanet Inc.,JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,0.0101,184945,1849.0,2024-08-09,0.0125,
2024-08-13,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.0184,334770,3347.0,2024-08-09,0.0178,
2024-08-13,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0067,121871,1218.0,2024-08-09,0.0042,
2024-08-09,3350,Metaplanet Inc.,JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,0.0125,227745,2277.0,2024-08-06,0.0152,
2024-08-09,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.0178,323970,3239.0,2024-08-07,0.0078000000000000005,
2024-08-07,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.0078000000000000005,141770,1417.0,2024-08-06,0.006,
2024-08-06,3350,Metaplanet Inc.,JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,0.0152,277345,2773.0,2024-08-02,0.011699999999999999,
2024-08-06,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.006,110270,1102.0,2024-08-05,0.0075,
2024-08-05,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.0075,136670,1366.0,2024-08-02,0.0069,
2024-08-02,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.0069,126170,1261.0,2024-08-01,0.0083,
2024-08-02,3350,Metaplanet Inc.,JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,0.011699999999999999,212745,2127.0,2024-08-01,0.0052,
2024-08-01,3350,Metaplanet Inc.,JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,0.0052,95955,959.0,2022-07-13,0.0016,
2024-08-01,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.0083,152170,1521.0,2024-07-31,0.0109,
2024-07-31,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.0109,199710,1997.0,2024-07-25,0.0183,
2024-07-25,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.0183,3327700,33277.0,2024-07-24,0.0175,
2024-07-25,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0048,885811,8858.0,2024-07-19,0.0051,
2024-07-24,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.0175,3195300,31953.0,2024-07-23,0.0152,
2024-07-23,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.0152,2775300,27753.0,2024-07-22,0.0176,
2024-07-22,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.0176,3212500,32125.0,2024-07-19,0.0128,
2024-07-19,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.0128,2336500,23365.0,2024-07-18,0.0173,
2024-07-19,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0051,878711,8787.0,2024-07-17,0.0048,
2024-07-18,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.0173,3013900,30139.0,2024-07-17,0.011899999999999999,
2024-07-17,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.011899999999999999,2088100,20881.0,2024-07-16,0.013500000000000002,
2024-07-17,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0048,816411,8164.0,2024-07-16,0.0064,
2024-07-16,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.013500000000000002,2365900,23659.0,2024-07-10,0.0208,
2024-07-16,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0064,1102211,11022.0,2024-07-11,0.0109,
2024-07-11,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0109,1870111,18701.0,2024-07-09,0.011000000000000001,
2024-07-10,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.0208,3624800,36248.0,2024-07-09,0.019299999999999998,
2024-07-09,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.011000000000000001,1877311,18773.0,2024-07-08,0.0109,
2024-07-09,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.019299999999999998,3372900,33729.0,2024-07-04,0.018600000000000002,
2024-07-08,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0109,1868211,18682.0,2024-06-24,0.0118,
2024-07-04,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.018600000000000002,3248000,32480.0,2024-07-03,0.0195,
2024-07-03,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.0195,3400700,34007.0,2024-06-28,0.0204,
2024-07-03,3350,Metaplanet Inc.,XTX Markets Pte Ltd,"50, Collyer Quay, #06-05 OUE Bayfront, Singapore 049321",,,,0.0043,764100,7641.0,2024-06-28,0.0052,
2024-06-28,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.0204,3560700,35607.0,2024-06-27,0.0182,
2024-06-28,3350,Metaplanet Inc.,XTX Markets Pte Ltd,"50, Collyer Quay, #06-05 OUE Bayfront, Singapore 049321",,,,0.0052,921800,9218.0,2024-06-27,0.0043,
2024-06-27,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.0182,3176500,31765.0,2024-06-26,0.021,
2024-06-27,3350,Metaplanet Inc.,XTX Markets Pte Ltd,"50, Collyer Quay, #06-05 OUE Bayfront, Singapore 049321",,,,0.0043,763700,7637.0,2024-06-26,0.0052,
